track,subset,measure,n,mean_auto,mean_manual,pearson_r,pearson_p,spearman_rho,spearman_p,icc_2_1,bias,mae
vad_classifier_gold40,Overall,SR,40,2.2989,2.3464,0.987,1.0218254322165312e-31,0.974,4.231699969776884e-26,0.984,-0.0475,0.0837
vad_classifier_gold40,Overall,MLR,40,5.7823,5.9343,0.936,9.10388904720535e-19,0.961,9.704530716774205e-23,0.935,-0.152,0.5485
vad_classifier_gold40,Overall,MCPR,40,0.1095,0.1031,0.964,2.07752871490443e-23,0.97,4.837355511805707e-25,0.957,0.0064,0.0121
vad_classifier_gold40,Overall,ECPR,40,0.0918,0.0907,0.879,8.921563507214368e-14,0.912,2.9798562298689233e-16,0.877,0.0012,0.0079
vad_classifier_gold40,Overall,PR,40,0.2013,0.1938,0.956,9.409324004601541e-22,0.958,3.167890031761644e-22,0.948,0.0076,0.0161
vad_classifier_gold40,Overall,MCPD,40,0.7702,0.7199,0.817,1.323655081721032e-10,0.804,4.000713110684122e-10,0.788,0.0503,0.0926
vad_classifier_gold40,Overall,ECPD,40,1.1563,1.1077,0.968,1.597992027270534e-24,0.917,9.727975623227892e-17,0.964,0.0486,0.1195
vad_classifier_gold40,Overall,MPD,40,0.9442,0.9058,0.954,1.48714944878662e-21,0.904,1.40523580919543e-15,0.946,0.0384,0.0792
vad_classifier_gold40,ST1,AR,20,3.8078,3.7701,0.963,1.113355511922496e-11,0.938,9.762241109318062e-10,0.96,0.0377,0.1529
vad_classifier_gold40,ST1,SR,20,2.2658,2.3126,0.989,1.4602381408714767e-16,0.961,1.7590493583431913e-11,0.986,-0.0468,0.0843
vad_classifier_gold40,ST1,MLR,20,5.5155,5.687,0.955,6.726128903505829e-11,0.948,2.014312636031177e-10,0.952,-0.1715,0.4545
vad_classifier_gold40,ST1,MCPR,20,0.106,0.102,0.964,8.010531809150274e-12,0.961,1.7590493583431913e-11,0.964,0.0041,0.0128
vad_classifier_gold40,ST1,ECPR,20,0.0979,0.0969,0.844,2.8636976137311634e-06,0.845,2.7549678428586618e-06,0.844,0.001,0.0081
vad_classifier_gold40,ST1,PR,20,0.204,0.1989,0.956,5.5152524364542084e-11,0.953,9.661121826017093e-11,0.955,0.0051,0.0159
vad_classifier_gold40,ST1,MCPD,20,0.7796,0.7219,0.708,0.00047302691139283987,0.736,0.00021873534774594184,0.666,0.0578,0.098
vad_classifier_gold40,ST1,ECPD,20,1.2429,1.1708,0.977,1.8393849186871758e-13,0.929,3.2275217543825797e-09,0.969,0.0721,0.1356
vad_classifier_gold40,ST1,MPD,20,0.9876,0.9425,0.945,3.5393249739078093e-10,0.859,1.26630064562172e-06,0.939,0.0451,0.094
vad_classifier_gold40,ST2,AR,20,3.658,3.6198,0.947,2.673414345481009e-10,0.865,8.760838300464333e-07,0.944,0.0382,0.1543
vad_classifier_gold40,ST2,SR,20,2.332,2.3802,0.985,4.209229553017114e-15,0.983,8.293403515243337e-15,0.983,-0.0482,0.0832
vad_classifier_gold40,ST2,MLR,20,6.049,6.1815,0.928,3.776521329876412e-09,0.96,2.270273334667908e-11,0.928,-0.1325,0.6425
vad_classifier_gold40,ST2,MCPR,20,0.1129,0.1042,0.974,4.501955566361803e-13,0.974,4.0365222137155197e-13,0.95,0.0087,0.0113
vad_classifier_gold40,ST2,ECPR,20,0.0857,0.0844,0.892,1.269437665271591e-07,0.937,1.2059368966099288e-09,0.893,0.0013,0.0076
vad_classifier_gold40,ST2,PR,20,0.1986,0.1887,0.963,1.1443588813615936e-11,0.958,3.389666746806415e-11,0.944,0.01,0.0163
vad_classifier_gold40,ST2,MCPD,20,0.7608,0.7179,0.906,3.8419120380465e-08,0.855,1.5274502257306624e-06,0.875,0.0428,0.0871
vad_classifier_gold40,ST2,ECPD,20,1.0698,1.0447,0.951,1.3439664761675779e-10,0.914,1.732048818457264e-08,0.951,0.0251,0.1035
vad_classifier_gold40,ST2,MPD,20,0.9008,0.869,0.972,9.483089446682052e-13,0.938,9.762241109318062e-10,0.957,0.0318,0.0643
