file_id,task,AR_auto,AR_manual,SR_auto,SR_manual,MLR_auto,MLR_manual,MCPR_auto,MCPR_manual,ECPR_auto,ECPR_manual,PR_auto,PR_manual,MCPD_auto,MCPD_manual,ECPD_auto,ECPD_manual,MPD_auto,MPD_manual
IID15-ST1,ST1,4.997,4.597,2.253,2.293,6.62,6.19,0.1067,0.0917,0.0489,0.0742,0.1556,0.1659,0.913,0.693,2.993,2.088,1.567,1.317
IID15-ST2,ST2,5.144,4.608,2.596,2.647,7.0,6.67,0.0731,0.0749,0.0731,0.0782,0.1462,0.1531,0.93,0.577,1.681,1.503,1.306,1.05
IID22-ST1,ST1,5.875,5.449,3.422,3.508,8.88,9.58,0.0535,0.0522,0.062,0.0549,0.1155,0.1071,0.474,0.408,1.56,1.46,1.057,0.948
IID22-ST2,ST2,5.493,5.084,3.169,3.363,6.85,8.05,0.0612,0.0665,0.0847,0.0576,0.1459,0.1242,0.753,0.627,1.032,1.023,0.915,0.811
IID35-ST1,ST1,4.408,3.932,1.783,1.972,4.22,4.18,0.1337,0.1209,0.1058,0.1234,0.2396,0.2443,0.977,0.67,1.92,1.392,1.394,1.034
IID35-ST2,ST2,4.764,3.723,1.815,1.905,4.69,4.21,0.1053,0.124,0.1108,0.1161,0.2161,0.2401,1.48,0.935,1.673,1.208,1.579,1.067
IID40-ST1,ST1,4.06,3.804,2.017,2.049,6.2,6.0,0.0806,0.0873,0.0887,0.0873,0.1694,0.1746,0.631,0.599,2.24,1.98,1.474,1.289
IID40-ST2,ST2,4.486,4.077,2.649,2.635,8.04,7.67,0.0757,0.0815,0.0541,0.0543,0.1297,0.1359,0.644,0.455,1.958,1.789,1.192,0.989
IID41-ST1,ST1,4.598,3.926,1.618,1.709,4.22,4.17,0.1406,0.1103,0.1004,0.1331,0.241,0.2433,1.42,1.125,2.001,1.55,1.662,1.357
IID41-ST2,ST2,4.376,3.834,1.487,1.728,4.11,3.83,0.0812,0.1103,0.1667,0.1544,0.2479,0.2647,1.444,0.879,1.961,1.43,1.792,1.201
KKD19-ST1,ST1,5.407,4.569,1.756,1.685,5.55,5.55,0.0919,0.092,0.0882,0.092,0.1801,0.1839,1.583,1.471,2.708,2.602,2.134,2.037
KKD19-ST2,ST2,5.137,4.522,1.808,1.869,4.74,4.65,0.1083,0.1047,0.1026,0.1129,0.2108,0.2176,1.4,1.081,2.018,1.776,1.701,1.442
KKD27-ST1,ST1,6.252,6.199,3.924,3.97,17.07,18.5,0.0312,0.0232,0.0312,0.0347,0.0625,0.0579,0.518,0.512,2.518,2.265,1.518,1.563
KKD27-ST2,ST2,6.392,6.396,4.06,4.147,14.62,17.07,0.0299,0.0251,0.0427,0.0377,0.0726,0.0628,0.316,0.35,1.882,2.018,1.237,1.351
KKD46-ST1,ST1,4.937,4.866,2.216,2.53,5.44,5.74,0.0934,0.0844,0.0934,0.0923,0.1867,0.1768,0.778,0.727,1.885,1.39,1.331,1.073
KKD46-ST2,ST2,4.91,4.711,2.422,2.658,5.81,5.87,0.0823,0.0864,0.0923,0.0864,0.1746,0.1727,0.783,0.711,1.569,1.189,1.199,0.95
KKR24-ST1,ST1,6.368,6.16,2.955,3.131,7.2,7.22,0.0873,0.0749,0.0556,0.0674,0.1429,0.1423,0.712,0.614,2.146,1.648,1.27,1.104
KKR24-ST2,ST2,5.711,5.655,3.178,3.52,7.18,8.14,0.0728,0.0657,0.0696,0.06,0.1424,0.1257,0.683,0.615,1.29,1.114,0.98,0.853
KKR40-ST1,ST1,5.617,5.399,3.373,3.432,10.74,11.35,0.031,0.0305,0.0655,0.061,0.0966,0.0915,0.456,0.516,1.591,1.483,1.226,1.16
KKR40-ST2,ST2,5.206,5.3,3.101,3.411,7.14,7.72,0.0825,0.075,0.06,0.0568,0.1425,0.1318,0.768,0.613,1.117,1.03,0.915,0.793
