file_id,task,AR_auto,AR_manual,SR_auto,SR_manual,MLR_auto,MLR_manual,MCPR_auto,MCPR_manual,ECPR_auto,ECPR_manual,PR_auto,PR_manual,MCPD_auto,MCPD_manual,ECPD_auto,ECPD_manual,MPD_auto,MPD_manual
ALL_029_M_TUR_ENG_ST2,ST2,4.688,4.755,2.985,3.134,4.76,5.38,0.115,0.0905,0.095,0.0952,0.21,0.1857,0.512,0.497,0.662,0.67,0.58,0.586
ALL_030_F_CMN_ENG_ST1,ST1,3.015,3.051,1.811,1.992,4.02,4.82,0.1494,0.1132,0.1037,0.0981,0.2531,0.2113,0.858,0.701,0.889,0.968,0.871,0.825
ALL_030_F_CMN_ENG_ST2,ST2,3.323,3.237,2.116,2.223,5.34,5.61,0.1175,0.0997,0.073,0.0816,0.1905,0.1813,0.811,0.591,1.047,1.004,0.902,0.777
ALL_031_M_VIE_ENG_ST1,ST1,3.186,2.89,1.708,1.684,3.46,3.65,0.1706,0.1779,0.1232,0.101,0.2938,0.2788,0.722,0.719,1.204,1.188,0.924,0.889
ALL_031_M_VIE_ENG_ST2,ST2,3.389,3.233,1.982,2.004,4.77,5.0,0.1236,0.1259,0.0899,0.0778,0.2135,0.2037,0.9,0.94,1.094,0.917,0.981,0.931
ALL_032_M_CMN_ENG_ST1,ST1,4.301,4.586,2.797,2.981,5.39,6.36,0.1257,0.1011,0.0659,0.0618,0.1916,0.1629,0.606,0.527,0.741,1.037,0.652,0.72
ALL_032_M_CMN_ENG_ST2,ST2,4.295,4.634,2.976,3.185,7.65,7.89,0.0704,0.061,0.0653,0.0704,0.1357,0.1315,0.727,0.665,0.798,0.818,0.761,0.747
ALL_033_M_CMN_ENG_ST1,ST1,4.076,4.15,2.604,2.792,5.43,6.7,0.072,0.0373,0.112,0.1119,0.184,0.1493,0.537,0.681,0.893,0.82,0.753,0.785
ALL_033_M_CMN_ENG_ST2,ST2,3.948,4.05,2.406,2.49,5.74,6.5,0.0896,0.0721,0.0896,0.0865,0.1791,0.1587,0.854,0.714,0.958,1.193,0.906,0.975
ALL_034_M_HIN_ENG_ST1,ST1,4.104,3.926,2.674,2.717,7.75,7.0,0.0591,0.0741,0.0753,0.0741,0.1344,0.1481,1.175,0.799,0.809,0.731,0.97,0.765
ALL_034_M_HIN_ENG_ST2,ST2,4.055,3.752,2.839,2.818,6.62,6.57,0.0719,0.0725,0.0791,0.0797,0.1511,0.1522,0.681,0.547,0.716,0.61,0.699,0.58
ALL_035_M_CMN_ENG_ST1,ST1,3.438,3.676,2.624,2.806,6.06,6.48,0.0904,0.0846,0.0745,0.0697,0.1649,0.1542,0.488,0.395,0.618,0.731,0.547,0.547
ALL_035_M_CMN_ENG_ST2,ST2,3.02,3.31,2.022,2.42,4.68,5.91,0.1329,0.0918,0.0867,0.0821,0.2197,0.1739,0.77,0.508,0.704,0.786,0.744,0.639
ALL_037_M_CMN_ENG_ST1,ST1,3.529,3.611,2.273,2.349,6.45,6.54,0.079,0.0735,0.079,0.0824,0.1581,0.1559,0.926,0.84,1.057,1.058,0.991,0.955
ALL_037_M_CMN_ENG_ST2,ST2,3.337,3.334,2.265,2.325,5.4,6.02,0.1147,0.0888,0.0706,0.0774,0.1853,0.1662,0.634,0.569,0.98,1.03,0.766,0.783
ALL_039_M_CMN_ENG_ST1,ST1,3.243,3.574,1.95,2.336,3.53,5.09,0.1711,0.1027,0.1123,0.0938,0.2834,0.1964,0.586,0.577,0.926,0.95,0.721,0.755
ALL_039_M_CMN_ENG_ST2,ST2,3.463,3.5,1.747,1.984,3.29,4.06,0.216,0.1725,0.092,0.0775,0.308,0.25,0.84,0.756,1.111,1.134,0.921,0.873
ALL_042_M_TUR_ENG_ST1,ST1,3.259,3.346,2.319,2.395,5.07,5.0,0.0892,0.0864,0.1127,0.1182,0.2019,0.2045,0.579,0.458,0.646,0.669,0.616,0.58
ALL_042_M_TUR_ENG_ST2,ST2,3.322,3.257,2.425,2.454,5.35,5.53,0.1098,0.1004,0.0813,0.0843,0.1911,0.1847,0.573,0.51,0.597,0.583,0.583,0.543
ALL_043_M_CMN_ENG_ST1,ST1,3.18,3.419,2.083,2.459,4.39,5.78,0.1259,0.1009,0.1054,0.0749,0.2313,0.1758,0.691,0.653,0.745,0.645,0.716,0.65
ALL_043_M_CMN_ENG_ST2,ST2,3.15,3.464,2.029,2.416,4.23,4.76,0.1364,0.1183,0.1,0.0916,0.2364,0.2099,0.67,0.478,0.84,0.75,0.742,0.596
ALL_044_F_FRA_ENG_ST1,ST1,3.503,3.38,1.901,1.944,4.43,4.62,0.1198,0.1126,0.1106,0.1081,0.2304,0.2207,0.742,0.693,1.372,1.299,1.045,0.99
ALL_044_F_FRA_ENG_ST2,ST2,3.508,3.236,2.252,2.314,5.29,6.19,0.1152,0.0942,0.0783,0.0717,0.1935,0.1659,0.813,0.695,0.835,0.804,0.822,0.742
ALL_046_F_FAR_ENG_ST1,ST1,4.897,4.532,3.269,2.999,7.27,8.33,0.0367,0.02,0.1009,0.1,0.1376,0.12,1.002,0.842,0.643,0.959,0.739,0.94
ALL_046_F_FAR_ENG_ST2,ST2,4.297,4.156,2.596,2.711,5.49,6.84,0.1034,0.0802,0.0837,0.0708,0.1872,0.1509,0.611,0.628,1.066,1.101,0.815,0.85
ALL_047_M_FAR_ENG_ST1,ST1,4.11,4.193,2.939,3.001,6.77,7.33,0.0928,0.095,0.0591,0.0455,0.1519,0.1405,0.617,0.532,0.67,0.971,0.638,0.674
ALL_047_M_FAR_ENG_ST2,ST2,4.209,4.088,2.915,2.936,6.04,6.23,0.0919,0.0876,0.0772,0.0766,0.1691,0.1642,0.568,0.473,0.689,0.711,0.624,0.584
ALL_048_M_KOR_ENG_ST1,ST1,4.724,4.726,2.715,2.628,5.57,6.04,0.0513,0.0464,0.1282,0.1192,0.1795,0.1656,0.837,0.926,0.887,1.057,0.873,1.02
ALL_048_M_KOR_ENG_ST2,ST2,4.078,4.15,2.591,2.642,6.38,6.78,0.0588,0.0577,0.1046,0.0962,0.1634,0.1538,1.037,1.018,0.762,0.82,0.861,0.894
ALL_074_F_CCT_ENG_ST1,ST1,2.865,2.793,1.402,1.379,3.5,3.51,0.1593,0.1564,0.1319,0.1341,0.2912,0.2905,1.114,1.092,1.416,1.464,1.251,1.264
ALL_074_F_CCT_ENG_ST2,ST2,2.627,2.582,1.176,1.155,3.53,3.58,0.177,0.1622,0.115,0.1261,0.292,0.2883,1.154,1.311,2.309,2.109,1.609,1.66
ALL_075_F_CCT_ENG_ST1,ST1,3.355,3.306,1.944,2.053,3.23,3.35,0.1929,0.1971,0.1218,0.1058,0.3147,0.3029,0.621,0.538,0.793,0.743,0.687,0.61
ALL_075_F_CCT_ENG_ST2,ST2,3.242,3.224,1.972,2.112,4.41,5.21,0.1348,0.0993,0.0993,0.0993,0.234,0.1987,0.735,0.672,1.003,0.973,0.849,0.822
ALL_076_M_CCT_ENG_ST1,ST1,3.185,3.409,1.706,1.883,3.6,3.98,0.1792,0.1518,0.0983,0.0995,0.2775,0.2513,0.594,0.55,1.687,1.549,0.981,0.946
ALL_076_M_CCT_ENG_ST2,ST2,3.665,3.562,1.948,1.986,4.37,5.03,0.1176,0.0962,0.1176,0.109,0.2353,0.2051,0.846,0.84,1.198,1.302,1.022,1.086
ALL_077_M_CCT_ENG_ST1,ST1,4.512,4.62,3.016,2.977,7.73,7.63,0.0345,0.0393,0.0991,0.0961,0.1336,0.1354,0.543,0.486,0.92,1.044,0.822,0.882
ALL_077_M_CCT_ENG_ST2,ST2,4.65,4.711,2.772,2.772,7.79,7.6,0.0461,0.0493,0.0855,0.0855,0.1316,0.1349,0.636,0.6,1.362,1.39,1.107,1.101
ALL_078_F_CCT_ENG_ST1,ST1,3.322,3.308,1.507,1.558,3.55,3.84,0.1667,0.1529,0.1197,0.1116,0.2863,0.2645,0.794,0.828,1.924,1.908,1.266,1.283
ALL_078_F_CCT_ENG_ST2,ST2,3.42,3.343,1.589,1.533,4.06,4.0,0.1357,0.1302,0.1156,0.125,0.2513,0.2552,1.15,1.051,1.566,1.731,1.341,1.384
ALL_079_M_CCT_ENG_ST1,ST1,4.722,4.804,2.348,2.249,5.26,4.86,0.0845,0.1103,0.1056,0.0956,0.1901,0.2059,0.753,0.973,1.425,1.352,1.126,1.149
ALL_079_M_CCT_ENG_ST2,ST2,4.577,4.41,2.261,2.153,4.65,4.78,0.1116,0.1046,0.1076,0.1088,0.2191,0.2134,0.881,0.837,1.166,1.38,1.021,1.114
ALL_082_F_CCT_ENG_ST1,ST1,4.054,4.028,2.657,2.791,6.04,7.3,0.0719,0.0548,0.0935,0.089,0.1655,0.1438,0.841,0.873,0.74,0.699,0.784,0.765
ALL_082_F_CCT_ENG_ST2,ST2,3.755,3.549,2.437,2.316,5.04,5.15,0.0993,0.1045,0.0993,0.0896,0.1986,0.194,0.791,0.722,0.66,0.833,0.726,0.773
ALL_083_F_CCT_ENG_ST1,ST1,3.706,3.578,2.188,2.061,5.34,5.84,0.0774,0.0548,0.1161,0.1233,0.1935,0.1781,0.773,0.856,1.097,1.288,0.968,1.155
