file_id,task,in_full_quality_174,in_gold40_raw,in_gold40_quality_39,excluded_by_quality_filter
ALL_110_M_KOR_ENG_ST2,ST2,False,False,False,True
ALL_111_M_HEB_ENG_ST1,ST1,True,False,False,False
ALL_111_M_HEB_ENG_ST2,ST2,True,False,False,False
ALL_112_F_KOR_ENG_ST1,ST1,True,True,True,False
ALL_112_F_KOR_ENG_ST2,ST2,True,False,False,False
ALL_113_M_JPN_ENG_ST1,ST1,True,True,True,False
ALL_113_M_JPN_ENG_ST2,ST2,True,False,False,False
ALL_115_M_TUR_ENG_ST1,ST1,True,False,False,False
ALL_115_M_TUR_ENG_ST2,ST2,True,False,False,False
ALL_117_M_HIN_ENG_ST1,ST1,True,False,False,False
ALL_117_M_HIN_ENG_ST2,ST2,True,False,False,False
ALL_118_M_HIN_ENG_ST1,ST1,True,False,False,False
ALL_118_M_HIN_ENG_ST2,ST2,True,False,False,False
ALL_119_F_KOR_ENG_ST1,ST1,True,False,False,False
ALL_119_F_KOR_ENG_ST2,ST2,True,False,False,False
ALL_120_F_VIE_ENG_ST1,ST1,True,False,False,False
ALL_120_F_VIE_ENG_ST2,ST2,True,False,False,False
ALL_121_F_KOR_ENG_ST1,ST1,True,False,False,False
ALL_121_F_KOR_ENG_ST2,ST2,True,False,False,False
ALL_122_M_TUR_ENG_ST1,ST1,True,False,False,False
ALL_122_M_TUR_ENG_ST2,ST2,True,False,False,False
ALL_124_M_SHS_ENG_ST1,ST1,True,True,True,False
ALL_124_M_SHS_ENG_ST2,ST2,True,False,False,False
ALL_125_F_TUR_ENG_ST1,ST1,True,False,False,False
ALL_125_F_TUR_ENG_ST2,ST2,True,False,False,False
ALL_126_M_TUR_ENG_ST1,ST1,True,True,True,False
ALL_126_M_TUR_ENG_ST2,ST2,True,False,False,False
ALL_139_M_PBR_ENG_ST1,ST1,False,True,False,True
ALL_139_M_PBR_ENG_ST2,ST2,False,False,False,True
ALL_140_M_RUS_ENG_ST1,ST1,False,False,False,True
ALL_140_M_RUS_ENG_ST2,ST2,False,False,False,True
ALL_141_M_HEB_ENG_ST1,ST1,False,False,False,True
ALL_141_M_HEB_ENG_ST2,ST2,False,False,False,True
ALL_142_M_RUS_ENG_ST1,ST1,False,False,False,True
ALL_142_M_RUS_ENG_ST2,ST2,False,False,False,True
ALL_143_M_FAR_ENG_ST1,ST1,False,False,False,True
ALL_143_M_FAR_ENG_ST2,ST2,False,False,False,True
ALL_144_M_RUS_ENG_ST1,ST1,False,False,False,True
ALL_144_M_RUS_ENG_ST2,ST2,True,False,False,False
ALL_145_F_VIE_ENG_ST1,ST1,False,False,False,True
ALL_145_F_VIE_ENG_ST2,ST2,True,False,False,False
ALL_146_F_VIE_ENG_ST1,ST1,True,True,True,False
ALL_146_F_VIE_ENG_ST2,ST2,True,False,False,False
ALL_149_M_HIN_ENG_ST1,ST1,True,False,False,False
ALL_149_M_HIN_ENG_ST2,ST2,True,False,False,False
ALL_150_F_HIN_ENG_ST1,ST1,True,False,False,False
ALL_150_F_HIN_ENG_ST2,ST2,True,False,False,False
ALL_151_M_HEB_ENG_ST1,ST1,True,True,True,False
ALL_151_M_HEB_ENG_ST2,ST2,True,True,True,False
