AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_vad_islands_detected,clf_islands_scored,clf_predicted_speech_islands,clf_fallback_vad_islands_used,clf_refined_pause_count,file
3.248,2.354,7.18,0.0763,0.0649,0.1412,0.704,0.974,0.828,524,222.61,161.32,74,40,34,62,74,15,75,24,20,19,74,ALL_096_F_KOR_ENG_ST2.TextGrid
3.407,1.965,5.18,0.0918,0.1063,0.1981,0.88,1.267,1.088,207,105.35,60.76,41,19,22,32,41,3,39,4,3,3,41,ALL_097_F_KOR_ENG_ST2.TextGrid
4.196,3.427,13.58,0.0368,0.0429,0.0798,0.546,0.778,0.671,163,47.56,38.85,13,6,7,17,13,1,16,5,2,2,13,ALL_098_M_GER_ENG_ST2.TextGrid
4.681,3.406,8.08,0.0309,0.0928,0.1237,0.663,0.64,0.646,97,28.48,20.72,12,3,9,16,12,4,12,7,5,5,12,ALL_099_M_SHS_ENG_ST1.TextGrid
4.462,2.79,7.42,0.0393,0.1011,0.1404,0.692,1.059,0.956,178,63.79,39.89,25,7,18,26,25,6,24,8,6,6,25,ALL_100_F_SHS_ENG_ST1.TextGrid
4.0,2.799,7.24,0.0773,0.0608,0.1381,0.842,0.693,0.776,181,64.66,45.25,25,14,11,22,25,5,22,7,5,7,25,ALL_100_F_SHS_ENG_ST2.TextGrid
5.172,4.003,11.74,0.0269,0.0583,0.0852,0.62,0.683,0.663,223,55.71,43.12,19,6,13,26,19,1,20,3,1,2,19,ALL_102_M_SHS_ENG_ST2.TextGrid
4.237,2.978,8.0,0.0542,0.075,0.1292,0.476,0.986,0.772,240,80.59,56.65,31,13,18,33,31,4,24,6,4,3,31,ALL_104_M_SHS_ENG_ST2.TextGrid
3.754,2.477,5.69,0.0603,0.1206,0.1809,0.527,0.875,0.759,199,80.34,53.02,36,12,24,25,36,1,32,5,1,3,36,ALL_112_F_KOR_ENG_ST1.TextGrid
2.853,1.874,4.1,0.1524,0.1159,0.2683,0.706,0.652,0.682,164,87.52,57.49,44,25,19,18,41,11,44,21,16,18,44,ALL_113_M_JPN_ENG_ST1.TextGrid
4.56,3.766,10.14,0.0141,0.0704,0.0845,0.67,0.522,0.547,71,18.85,15.57,6,1,5,12,6,0,4,0,0,0,6,ALL_124_M_SHS_ENG_ST1.TextGrid
2.662,1.761,3.69,0.2542,0.0593,0.3136,0.561,0.838,0.613,118,67.02,44.33,37,30,7,13,33,10,28,19,10,11,37,ALL_126_M_TUR_ENG_ST1.TextGrid
3.7,1.815,6.46,0.0973,0.0619,0.1593,0.679,3.465,1.763,226,124.54,61.08,36,22,14,26,35,5,41,11,5,6,36,ALL_139_M_PBR_ENG_ST1.TextGrid
3.401,1.669,6.15,0.05,0.125,0.175,0.652,2.181,1.744,80,47.94,23.52,14,4,10,11,14,0,15,0,0,0,14,ALL_146_F_VIE_ENG_ST1.TextGrid
3.343,1.813,5.52,0.0938,0.1,0.1938,0.963,1.621,1.303,160,88.26,47.87,31,15,16,21,30,3,32,12,3,4,31,ALL_151_M_HEB_ENG_ST1.TextGrid
3.262,2.181,6.47,0.0894,0.0772,0.1667,0.631,1.236,0.912,246,112.8,75.42,41,22,19,36,39,9,39,15,10,10,41,ALL_151_M_HEB_ENG_ST2.TextGrid
