track,subset,measure,n,mean_auto,mean_manual,pearson_r,pearson_p,spearman_rho,spearman_p,icc_2_1,bias,mae
vad,ST1,AR,20,4.9164,4.9131,0.84,3.6256619357513364e-06,0.815,1.2276023021748716e-05,0.846,0.0033,0.3683
vad,ST1,SR,20,2.5691,2.6544,0.993,5.113003575331595e-18,0.989,1.450570213696413e-16,0.986,-0.0853,0.1007
vad,ST1,MLR,20,7.5715,7.7845,0.997,2.798772099927422e-21,0.987,8.313955323796193e-16,0.988,-0.213,0.348
vad,ST1,MCPR,20,0.077,0.0753,0.9,6.812540189544894e-08,0.868,7.239120255573912e-07,0.898,0.0017,0.0099
vad,ST1,ECPR,20,0.0788,0.0751,0.748,0.000147494976408812,0.765,8.403045414071628e-05,0.749,0.0037,0.0136
vad,ST1,PR,20,0.1558,0.1503,0.98,3.912587273735875e-14,0.97,1.7143556108377459e-12,0.973,0.0055,0.0086
vad,ST1,MCPD,20,0.8492,0.7326,0.957,3.794026196988546e-11,0.854,1.6513222736058674e-06,0.883,0.1167,0.1246
vad,ST1,ECPD,20,1.8635,1.8794,0.704,0.000531209319950548,0.564,0.00960697153757662,0.693,-0.016,0.3895
vad,ST1,MPD,20,1.3349,1.3146,0.801,2.245031847715048e-05,0.651,0.0018736439667456602,0.799,0.0204,0.2148
vad,ST2,AR,20,4.7241,4.7761,0.699,0.0006022125505412219,0.746,0.00015970222414751246,0.686,-0.0519,0.4787
vad,ST2,SR,20,2.5572,2.6838,0.993,6.224573983139365e-18,0.976,2.351920209922708e-13,0.979,-0.1265,0.1315
vad,ST2,MLR,20,7.1485,7.5055,0.986,1.6468100996338701e-15,0.955,6.23787604797925e-11,0.961,-0.357,0.572
vad,ST2,MCPR,20,0.0797,0.0781,0.925,5.701413181755643e-09,0.94,7.860443387804438e-10,0.927,0.0016,0.0097
vad,ST2,ECPR,20,0.0883,0.0813,0.882,2.7968933234340934e-07,0.881,2.886084876154728e-07,0.866,0.007,0.0124
vad,ST2,PR,20,0.168,0.1594,0.966,5.019226225707827e-12,0.936,1.2745152568857093e-09,0.955,0.0086,0.0154
vad,ST2,MCPD,20,0.9007,0.7714,0.95,1.5613230556448556e-10,0.889,1.648527413023587e-07,0.901,0.1292,0.1485
vad,ST2,ECPD,20,1.5597,1.6004,0.799,2.409018605730498e-05,0.591,0.006070153699275822,0.788,-0.0407,0.3125
vad,ST2,MPD,20,1.2501,1.2074,0.846,2.6451448267542787e-06,0.612,0.004129875210325546,0.838,0.0427,0.2266
vad_classifier,Overall,AR,40,4.9757,4.8446,0.946,3.0570860654748896e-20,0.942,1.1477596621328363e-19,0.917,0.1312,0.2168
vad_classifier,Overall,SR,40,2.5632,2.6691,0.992,6.386260264020728e-36,0.988,1.9663246396683248e-32,0.982,-0.1059,0.1161
vad_classifier,Overall,MLR,40,7.36,7.645,0.991,2.26106233004955e-34,0.987,1.5979551013115798e-31,0.975,-0.285,0.46
vad_classifier,Overall,MCPR,40,0.0791,0.0767,0.914,1.712820460208048e-16,0.931,2.8749142784399825e-18,0.912,0.0024,0.0099
vad_classifier,Overall,ECPR,40,0.0835,0.0782,0.871,2.587443164055554e-13,0.868,3.954475969332401e-13,0.851,0.0053,0.0113
vad_classifier,Overall,PR,40,0.1626,0.1549,0.984,6.723946653222927e-30,0.981,9.371088719483354e-29,0.97,0.0077,0.0111
vad_classifier,Overall,MCPD,40,0.8574,0.752,0.945,4.425624078725699e-20,0.868,4.085125369047147e-13,0.898,0.1054,0.1224
vad_classifier,Overall,ECPD,40,1.7693,1.7399,0.904,1.431566319397455e-15,0.836,1.8656441351115417e-11,0.904,0.0293,0.1971
vad_classifier,Overall,MPD,40,1.332,1.261,0.92,4.4827010704249104e-17,0.824,6.224083967878071e-11,0.908,0.0709,0.1389
vad_classifier,ST1,AR,20,5.0351,4.9131,0.966,5.003220693537717e-12,0.964,8.653586851562462e-12,0.946,0.1221,0.1846
vad_classifier,ST1,SR,20,2.5691,2.6544,0.993,5.113003575331595e-18,0.989,1.450570213696413e-16,0.986,-0.0853,0.1007
vad_classifier,ST1,MLR,20,7.5715,7.7845,0.997,2.798772099927422e-21,0.987,8.313955323796193e-16,0.988,-0.213,0.348
vad_classifier,ST1,MCPR,20,0.0774,0.0753,0.896,9.009106112664668e-08,0.874,4.872962880719225e-07,0.893,0.0021,0.0103
vad_classifier,ST1,ECPR,20,0.0803,0.0751,0.812,1.3528581913391064e-05,0.818,1.050552922554934e-05,0.794,0.0052,0.0122
vad_classifier,ST1,PR,20,0.1577,0.1503,0.987,1.3367798011793704e-15,0.971,1.0864095402975098e-12,0.974,0.0074,0.0095
vad_classifier,ST1,MCPD,20,0.8274,0.7326,0.945,3.56183884968917e-10,0.854,1.6513222736058674e-06,0.894,0.0947,0.1069
vad_classifier,ST1,ECPD,20,1.8892,1.8794,0.896,9.258483138879396e-08,0.853,1.8006016805502175e-06,0.896,0.0097,0.2177
vad_classifier,ST1,MPD,20,1.3661,1.3146,0.92,9.980690220327996e-09,0.862,1.0555245332264355e-06,0.912,0.0515,0.1417
vad_classifier,ST2,AR,20,4.9163,4.7761,0.927,4.293667912097514e-09,0.905,4.121873801744547e-08,0.888,0.1402,0.249
vad_classifier,ST2,SR,20,2.5572,2.6838,0.993,6.224573983139365e-18,0.976,2.351920209922708e-13,0.979,-0.1265,0.1315
vad_classifier,ST2,MLR,20,7.1485,7.5055,0.986,1.6468100996338701e-15,0.955,6.23787604797925e-11,0.961,-0.357,0.572
vad_classifier,ST2,MCPR,20,0.0808,0.0781,0.93,3.083668914051987e-09,0.94,7.860443387804438e-10,0.93,0.0027,0.0095
vad_classifier,ST2,ECPR,20,0.0867,0.0813,0.905,4.0881929370599634e-08,0.875,4.400102028393751e-07,0.89,0.0053,0.0103
vad_classifier,ST2,PR,20,0.1675,0.1594,0.982,1.9481315973266213e-14,0.927,4.455950072117566e-09,0.968,0.008,0.0127
vad_classifier,ST2,MCPD,20,0.8875,0.7714,0.945,3.4280637230502443e-10,0.874,4.872962880719225e-07,0.903,0.116,0.1379
vad_classifier,ST2,ECPD,20,1.6493,1.6004,0.907,3.566959838283614e-08,0.792,3.159079118495746e-05,0.908,0.0489,0.1764
vad_classifier,ST2,MPD,20,1.2978,1.2074,0.922,7.56948977878384e-09,0.812,1.3751698807413048e-05,0.906,0.0904,0.1362
